,rate
1993-04-05,0.7755
1993-04-06,0.777
1993-04-07,0.7765
1993-04-08,0.7775
1993-04-09,0.7761
1993-04-10,0.7753
1993-04-11,0.7703
1993-04-12,0.7688
1993-04-13,0.7675
1993-04-14,0.766
1993-04-15,0.762
1993-04-16,0.767
1993-04-17,0.7703
1993-04-18,0.7665
1993-04-19,0.757
1993-04-20,0.7585
1993-04-21,0.7603
1993-04-22,0.7655
1993-04-23,0.7685
1993-04-24,0.7673
1993-04-25,0.77
1993-04-26,0.7643
1993-04-27,0.7655
1993-04-28,0.762
1993-04-29,0.759
1993-04-30,0.7575
1993-05-01,0.759
1993-05-02,0.7585
1993-05-03,0.7525
1993-05-04,0.7511
1993-05-05,0.7464
1993-05-06,0.7441
1993-05-07,0.744
1993-05-08,0.7452
1993-05-09,0.7442
1993-05-10,0.744
1993-05-11,0.747
1993-05-12,0.7455
1993-05-13,0.7375
1993-05-14,0.7415
1993-05-15,0.738
1993-05-16,0.7365
1993-05-17,0.7373
1993-05-18,0.7395
1993-05-19,0.738
1993-05-20,0.7348
1993-05-21,0.737
1993-05-22,0.7381
1993-05-23,0.7393
1993-05-24,0.7385
1993-05-25,0.7391
1993-05-26,0.741
1993-05-27,0.7445
1993-05-28,0.7462
1993-05-29,0.744
1993-05-30,0.7455
1993-05-31,0.746
1993-06-01,0.734
1993-06-02,0.7238
1993-06-03,0.7264
1993-06-04,0.725
1993-06-05,0.7253
1993-06-06,0.7285
1993-06-07,0.7252
1993-06-08,0.7273
1993-06-09,0.7239
1993-06-10,0.728
1993-06-11,0.7325
1993-06-12,0.7327
1993-06-13,0.7327
1993-06-14,0.7393
1993-06-15,0.7402
1993-06-16,0.741
1993-06-17,0.741
1993-06-18,0.7405
1993-06-19,0.7427
1993-06-20,0.7397
1993-06-21,0.74
1993-06-22,0.7418
1993-06-23,0.7411
1993-06-24,0.7351
1993-06-25,0.7345
1993-06-26,0.7325
1993-06-27,0.7298
1993-06-28,0.727
1993-06-29,0.7262
1993-06-30,0.7278
1993-07-01,0.7272
1993-07-02,0.7285
1993-07-03,0.7292
1993-07-04,0.733
1993-07-05,0.7405
1993-07-06,0.7417
1993-07-07,0.7385
1993-07-08,0.7292
1993-07-09,0.7286
1993-07-10,0.7328
1993-07-11,0.7407
1993-07-12,0.7333
1993-07-13,0.7273
1993-07-14,0.7305
1993-07-15,0.7175
1993-07-16,0.715
1993-07-17,0.7181
1993-07-18,0.7187
1993-07-19,0.717
1993-07-20,0.7192
1993-07-21,0.719
1993-07-22,0.7203
1993-07-23,0.719
1993-07-24,0.7154
1993-07-25,0.7165
1993-07-26,0.7143
1993-07-27,0.7165
1993-07-28,0.7205
1993-07-29,0.7227
1993-07-30,0.72
1993-07-31,0.7175
1993-08-01,0.7193
1993-08-02,0.7215
1993-08-03,0.7275
1993-08-04,0.7281
1993-08-05,0.7267
1993-08-06,0.7243
1993-08-07,0.7255
1993-08-08,0.7207
1993-08-09,0.7208
1993-08-10,0.7185
1993-08-11,0.7142
1993-08-12,0.7142
1993-08-13,0.7155
1993-08-14,0.7108
1993-08-15,0.71
1993-08-16,0.71
1993-08-17,0.7115
1993-08-18,0.7157
1993-08-19,0.7146
1993-08-20,0.72
1993-08-21,0.7215
1993-08-22,0.7327
1993-08-23,0.7303
1993-08-24,0.7323
1993-08-25,0.7324
1993-08-26,0.732
1993-08-27,0.7348
1993-08-28,0.735
1993-08-29,0.7375
1993-08-30,0.7385
1993-08-31,0.7381
1993-09-01,0.7365
1993-09-02,0.7363
1993-09-03,0.7387
1993-09-04,0.7403
1993-09-05,0.7405
1993-09-06,0.7402
1993-09-07,0.7425
1993-09-08,0.7414
1993-09-09,0.7436
1993-09-10,0.742
1993-09-11,0.7398
1993-09-12,0.742
1993-09-13,0.7415
1993-09-14,0.7363
1993-09-15,0.732
1993-09-16,0.7315
1993-09-17,0.7355
1993-09-18,0.7368
1993-09-19,0.74
1993-09-20,0.7405
1993-09-21,0.7408
1993-09-22,0.7435
1993-09-23,0.7434
1993-09-24,0.751
1993-09-25,0.7546
1993-09-26,0.7517
1993-09-27,0.7494
1993-09-28,0.751
1993-09-29,0.7505
1993-09-30,0.751
1993-10-01,0.7515
1993-10-02,0.7525
1993-10-03,0.76
1993-10-04,0.7628
1993-10-05,0.762
1993-10-06,0.7594
1993-10-07,0.755
1993-10-08,0.7601
1993-10-09,0.7565
1993-10-10,0.7538
1993-10-11,0.7455
1993-10-12,0.7493
1993-10-13,0.7474
1993-10-14,0.7485
1993-10-15,0.7525
1993-10-16,0.7555
1993-10-17,0.762
1993-10-18,0.7658
1993-10-19,0.7631
1993-10-20,0.7598
1993-10-21,0.7612
1993-10-22,0.7582
1993-10-23,0.7628
1993-10-24,0.7603
1993-10-25,0.759
1993-10-26,0.756
1993-10-27,0.757
1993-10-28,0.7545
1993-10-29,0.752
1993-10-30,0.7497
1993-10-31,0.748
1993-11-01,0.7471
1993-11-02,0.7485
1993-11-03,0.7553
1993-11-04,0.754
1993-11-05,0.761
1993-11-06,0.7615
1993-11-07,0.7603
1993-11-08,0.7585
1993-11-09,0.758
1993-11-10,0.753
1993-11-11,0.7528
1993-11-12,0.7503
1993-11-13,0.7358
1993-11-14,0.7378
1993-11-15,0.738
1993-11-16,0.7402
1993-11-17,0.735
1993-11-18,0.7405
1993-11-19,0.7405
1993-11-20,0.7434
1993-11-21,0.7456
1993-11-22,0.7411
1993-11-23,0.74
1993-11-24,0.7405
1993-11-25,0.75
1993-11-26,0.7485
1993-11-27,0.7424
1993-11-28,0.7372
1993-11-29,0.7396
1993-11-30,0.7384
1993-12-01,0.7395
1993-12-02,0.739
1993-12-03,0.7377
1993-12-04,0.736
1993-12-05,0.7405
1993-12-06,0.7444
1993-12-07,0.7379
1993-12-08,0.741
1993-12-09,0.7405
1993-12-10,0.7408
1993-12-11,0.741
1993-12-12,0.7415
1993-12-13,0.7395
1993-12-14,0.74
1993-12-15,0.7478
1993-12-16,0.745
1993-12-17,0.7432
1993-12-18,0.7433
1993-12-19,0.7485
1993-12-20,0.7453
1993-12-21,0.7475
1993-12-22,0.7473
1993-12-23,0.7447
1993-12-24,0.7469
1993-12-25,0.7465
1993-12-26,0.7445
1993-12-27,0.7431
1993-12-28,0.74
1993-12-29,0.7389
1993-12-30,0.7355
1993-12-31,0.7318
1994-01-01,0.735
1994-01-02,0.7359
1994-01-03,0.737
1994-01-04,0.7382
1994-01-05,0.74
1994-01-06,0.7417
1994-01-07,0.7443
1994-01-08,0.7474
1994-01-09,0.7557
1994-01-10,0.7549
1994-01-11,0.7547
1994-01-12,0.7535
1994-01-13,0.7575
1994-01-14,0.7545
1994-01-15,0.7543
1994-01-16,0.7532
1994-01-17,0.7559
1994-01-18,0.7555
1994-01-19,0.755
1994-01-20,0.7553
1994-01-21,0.751
1994-01-22,0.7545
1994-01-23,0.756
1994-01-24,0.7564
1994-01-25,0.7581
1994-01-26,0.7637
1994-01-27,0.7643
1994-01-28,0.7618
1994-01-29,0.7602
1994-01-30,0.76
1994-01-31,0.7622
1994-02-01,0.7625
1994-02-02,0.7678
1994-02-03,0.768
1994-02-04,0.77
1994-02-05,0.7737
1994-02-06,0.774
1994-02-07,0.7734
1994-02-08,0.7734
1994-02-09,0.7742
1994-02-10,0.775
1994-02-11,0.778
1994-02-12,0.7769
1994-02-13,0.7735
1994-02-14,0.7725
1994-02-15,0.7779
1994-02-16,0.7821
1994-02-17,0.7815
1994-02-18,0.784
1994-02-19,0.7822
1994-02-20,0.781
1994-02-21,0.781
1994-02-22,0.7838
1994-02-23,0.783
1994-02-24,0.7861
1994-02-25,0.7883
1994-02-26,0.7897
1994-02-27,0.79
1994-02-28,0.7902
1994-03-01,0.7875
1994-03-02,0.7852
1994-03-03,0.7815
1994-03-04,0.7815
1994-03-05,0.7865
1994-03-06,0.7894
1994-03-07,0.7845
1994-03-08,0.7885
1994-03-09,0.7883
1994-03-10,0.787
1994-03-11,0.7854
1994-03-12,0.7896
1994-03-13,0.7951
1994-03-14,0.7955
1994-03-15,0.7958
1994-03-16,0.7984
1994-03-17,0.8005
1994-03-18,0.7983
1994-03-19,0.8026
1994-03-20,0.8012
1994-03-21,0.8017
1994-03-22,0.8007
1994-03-23,0.8015
1994-03-24,0.8
1994-03-25,0.7945
1994-03-26,0.7928
1994-03-27,0.7943
1994-03-28,0.7935
1994-03-29,0.7914
1994-03-30,0.7945
1994-03-31,0.7983
1994-04-01,0.7957
1994-04-02,0.798
1994-04-03,0.801
1994-04-04,0.799
1994-04-05,0.793
1994-04-06,0.7855
1994-04-07,0.7914
1994-04-08,0.7935
1994-04-09,0.7919
1994-04-10,0.7905
1994-04-11,0.792
1994-04-12,0.7921
1994-04-13,0.792
1994-04-14,0.7892
1994-04-15,0.7876
1994-04-16,0.7885
1994-04-17,0.7905
1994-04-18,0.7903
1994-04-19,0.7906
1994-04-20,0.7911
1994-04-21,0.789
1994-04-22,0.7856
1994-04-23,0.7872
1994-04-24,0.7827
1994-04-25,0.7813
1994-04-26,0.796
1994-04-27,0.7934
1994-04-28,0.7922
1994-04-29,0.7975
1994-04-30,0.7982
1994-05-01,0.7973
1994-05-02,0.7948
1994-05-03,0.7912
1994-05-04,0.7875
1994-05-05,0.792
1994-05-06,0.7906
1994-05-07,0.7917
1994-05-08,0.7911
1994-05-09,0.7912
1994-05-10,0.788
1994-05-11,0.7873
1994-05-12,0.7871
1994-05-13,0.7825
1994-05-14,0.7735
1994-05-15,0.7721
1994-05-16,0.773
1994-05-17,0.7729
1994-05-18,0.7758
1994-05-19,0.7772
1994-05-20,0.7782
1994-05-21,0.7785
1994-05-22,0.7776
1994-05-23,0.7792
1994-05-24,0.779
1994-05-25,0.7827
1994-05-26,0.7837
1994-05-27,0.79
1994-05-28,0.7862
1994-05-29,0.7898
1994-05-30,0.791
1994-05-31,0.7903
1994-06-01,0.7905
1994-06-02,0.7868
1994-06-03,0.7905
1994-06-04,0.791
1994-06-05,0.791
1994-06-06,0.792
1994-06-07,0.7921
1994-06-08,0.7942
1994-06-09,0.7975
1994-06-10,0.8012
1994-06-11,0.7991
1994-06-12,0.8004
1994-06-13,0.796
1994-06-14,0.7927
1994-06-15,0.787
1994-06-16,0.79
1994-06-17,0.7886
1994-06-18,0.7895
1994-06-19,0.7903
1994-06-20,0.7918
1994-06-21,0.7875
1994-06-22,0.7906
1994-06-23,0.793
1994-06-24,0.7911
1994-06-25,0.7912
1994-06-26,0.7915
1994-06-27,0.795
1994-06-28,0.79
1994-06-29,0.7895
1994-06-30,0.7867
1994-07-01,0.789
1994-07-02,0.7894
1994-07-03,0.79
1994-07-04,0.7905
1994-07-05,0.7907
1994-07-06,0.7914
1994-07-07,0.792
1994-07-08,0.7962
1994-07-09,0.7967
1994-07-10,0.7957
1994-07-11,0.7945
1994-07-12,0.7927
1994-07-13,0.7918
1994-07-14,0.7904
1994-07-15,0.7909
1994-07-16,0.7918
1994-07-17,0.793
1994-07-18,0.7892
1994-07-19,0.7868
1994-07-20,0.787
1994-07-21,0.7921
1994-07-22,0.783
1994-07-23,0.7885
1994-07-24,0.7894
1994-07-25,0.7876
1994-07-26,0.7905
1994-07-27,0.79
1994-07-28,0.7916
1994-07-29,0.794
1994-07-30,0.7995
1994-07-31,0.811
1994-08-01,0.812
1994-08-02,0.8116
1994-08-03,0.8113
1994-08-04,0.8111
1994-08-05,0.8137
1994-08-06,0.818
1994-08-07,0.797
1994-08-08,0.798
1994-08-09,0.798
1994-08-10,0.7961
1994-08-11,0.8031
1994-08-12,0.8018
1994-08-13,0.792
1994-08-14,0.7925
1994-08-15,0.7915
1994-08-16,0.793
1994-08-17,0.7959
1994-08-18,0.7905
1994-08-19,0.794
1994-08-20,0.7943
1994-08-21,0.797
1994-08-22,0.796
1994-08-23,0.795
1994-08-24,0.795
1994-08-25,0.7957
1994-08-26,0.7944
1994-08-27,0.7895
1994-08-28,0.7914
1994-08-29,0.7882
1994-08-30,0.7891
1994-08-31,0.7796
1994-09-01,0.778
1994-09-02,0.7818
1994-09-03,0.7783
1994-09-04,0.781
1994-09-05,0.7767
1994-09-06,0.7791
1994-09-07,0.78
1994-09-08,0.7774
1994-09-09,0.7756
1994-09-10,0.7716
1994-09-11,0.772
1994-09-12,0.7722
1994-09-13,0.769
1994-09-14,0.77
1994-09-15,0.7657
1994-09-16,0.7625
1994-09-17,0.767
1994-09-18,0.763
1994-09-19,0.7613
1994-09-20,0.7648
1994-09-21,0.7611
1994-09-22,0.7572
1994-09-23,0.7583
1994-09-24,0.759
1994-09-25,0.7676
1994-09-26,0.7655
1994-09-27,0.7653
1994-09-28,0.7663
1994-09-29,0.7702
1994-09-30,0.777
1994-10-01,0.777
1994-10-02,0.7768
1994-10-03,0.7742
1994-10-04,0.7778
1994-10-05,0.7765
1994-10-06,0.7863
1994-10-07,0.7894
1994-10-08,0.7841
1994-10-09,0.7873
1994-10-10,0.788
1994-10-11,0.7875
1994-10-12,0.7927
1994-10-13,0.794
1994-10-14,0.7923
1994-10-15,0.7978
1994-10-16,0.7935
1994-10-17,0.786
1994-10-18,0.786
1994-10-19,0.7871
1994-10-20,0.7841
1994-10-21,0.787
1994-10-22,0.7817
1994-10-23,0.783
1994-10-24,0.7816
1994-10-25,0.7835
1994-10-26,0.784
1994-10-27,0.7876
1994-10-28,0.7845
1994-10-29,0.779
1994-10-30,0.7755
1994-10-31,0.7762
1994-11-01,0.781
1994-11-02,0.7838
1994-11-03,0.7814
1994-11-04,0.786
1994-11-05,0.779
1994-11-06,0.7755
1994-11-07,0.7716
1994-11-08,0.7735
1994-11-09,0.774
1994-11-10,0.776
1994-11-11,0.778
1994-11-12,0.7765
1994-11-13,0.7755
1994-11-14,0.7768
1994-11-15,0.7797
1994-11-16,0.7804
1994-11-17,0.7795
1994-11-18,0.7845
1994-11-19,0.784
1994-11-20,0.78
1994-11-21,0.7772
1994-11-22,0.7764
1994-11-23,0.78
1994-11-24,0.7784
1994-11-25,0.7787
1994-11-26,0.7767
1994-11-27,0.778
1994-11-28,0.7765
1994-11-29,0.7748
1994-11-30,0.7743
1994-12-01,0.7742
1994-12-02,0.784
1994-12-03,0.7795
1994-12-04,0.765
1994-12-05,0.764
1994-12-06,0.7635
1994-12-07,0.7644
1994-12-08,0.763
1994-12-09,0.758
1994-12-10,0.7603
1994-12-11,0.7587
1994-12-12,0.761
1994-12-13,0.7608
1994-12-14,0.7614
1994-12-15,0.7616
1994-12-16,0.7579
1994-12-17,0.7524
1994-12-18,0.7513
1994-12-19,0.7485
1994-12-20,0.75
1994-12-21,0.7505
1994-12-22,0.7497
1994-12-23,0.7525
1994-12-24,0.752
1994-12-25,0.7508
1994-12-26,0.7513
1994-12-27,0.7495
1994-12-28,0.7455
1994-12-29,0.755
1994-12-30,0.7529
1994-12-31,0.7525
1995-01-01,0.7537
1995-01-02,0.7435
1995-01-03,0.747
1995-01-04,0.745
1995-01-05,0.743
1995-01-06,0.7404
1995-01-07,0.736
1995-01-08,0.7343
1995-01-09,0.7355
1995-01-10,0.7357
1995-01-11,0.743
1995-01-12,0.741
1995-01-13,0.7396
1995-01-14,0.7366
1995-01-15,0.7375
1995-01-16,0.7372
1995-01-17,0.7345
1995-01-18,0.745
1995-01-19,0.7447
1995-01-20,0.7451
1995-01-21,0.7393
1995-01-22,0.7385
1995-01-23,0.7392
1995-01-24,0.736
1995-01-25,0.7333
1995-01-26,0.7337
1995-01-27,0.7368
1995-01-28,0.7381
1995-01-29,0.7445
1995-01-30,0.7427
1995-01-31,0.7428
1995-02-01,0.7387
1995-02-02,0.7415
1995-02-03,0.7422
1995-02-04,0.7483
1995-02-05,0.7482
1995-02-06,0.7463
1995-02-07,0.7465
1995-02-08,0.74
1995-02-09,0.7365
1995-02-10,0.7345
1995-02-11,0.7265
1995-02-12,0.7258
1995-02-13,0.7321
1995-02-14,0.7308
1995-02-15,0.73
1995-02-16,0.727
1995-02-17,0.72
1995-02-18,0.7215
1995-02-19,0.7199
1995-02-20,0.7165
1995-02-21,0.7163
1995-02-22,0.7165
1995-02-23,0.7203
1995-02-24,0.7195
1995-02-25,0.7195
1995-02-26,0.7206
1995-02-27,0.7255
1995-02-28,0.7227
1995-03-01,0.719
1995-03-02,0.725
1995-03-03,0.728
1995-03-04,0.7283
1995-03-05,0.7275
1995-03-06,0.7235
1995-03-07,0.725
1995-03-08,0.7285
1995-03-09,0.7356
1995-03-10,0.736
1995-03-11,0.7364
1995-03-12,0.7325
1995-03-13,0.7386
1995-03-14,0.7325
1995-03-15,0.7295
1995-03-16,0.723
1995-03-17,0.706
1995-03-18,0.7015
1995-03-19,0.7
1995-03-20,0.691
1995-03-21,0.7025
1995-03-22,0.704
1995-03-23,0.7008
1995-03-24,0.703
1995-03-25,0.712
1995-03-26,0.7045
1995-03-27,0.703
1995-03-28,0.6978
1995-03-29,0.694
1995-03-30,0.697
1995-03-31,0.6935
1995-04-01,0.6962
1995-04-02,0.696
1995-04-03,0.6989
1995-04-04,0.699
1995-04-05,0.6892
1995-04-06,0.6882
1995-04-07,0.699
1995-04-08,0.6938
1995-04-09,0.6865
1995-04-10,0.6835
1995-04-11,0.6825
1995-04-12,0.677
1995-04-13,0.677
1995-04-14,0.676
1995-04-15,0.6732
1995-04-16,0.6712
1995-04-17,0.6705
1995-04-18,0.6675
1995-04-19,0.6665
1995-04-20,0.666
1995-04-21,0.663
1995-04-22,0.6566
1995-04-23,0.649
1995-04-24,0.6605
1995-04-25,0.6565
1995-04-26,0.653
1995-04-27,0.6523
1995-04-28,0.6565
1995-04-29,0.6558
1995-04-30,0.6559
1995-05-01,0.654
1995-05-02,0.6517
1995-05-03,0.6515
1995-05-04,0.65
1995-05-05,0.6418
1995-05-06,0.6347
1995-05-07,0.6415
1995-05-08,0.6353
1995-05-09,0.647
1995-05-10,0.643
1995-05-11,0.6465
1995-05-12,0.647
1995-05-13,0.6503
1995-05-14,0.6614
1995-05-15,0.6657
1995-05-16,0.6595
1995-05-17,0.6596
1995-05-18,0.663
1995-05-19,0.6694
1995-05-20,0.6748
1995-05-21,0.681
1995-05-22,0.675
1995-05-23,0.6852
1995-05-24,0.6868
1995-05-25,0.6825
1995-05-26,0.6812
1995-05-27,0.6765
1995-05-28,0.67
1995-05-29,0.6725
1995-05-30,0.6814
1995-05-31,0.678
1995-06-01,0.677
1995-06-02,0.6725
1995-06-03,0.6685
1995-06-04,0.6702
1995-06-05,0.676
1995-06-06,0.6716
1995-06-07,0.667
1995-06-08,0.6659
1995-06-09,0.6655
1995-06-10,0.6713
1995-06-11,0.6785
1995-06-12,0.6825
1995-06-13,0.6796
1995-06-14,0.6745
1995-06-15,0.668
1995-06-16,0.6675
1995-06-17,0.6672
1995-06-18,0.668
1995-06-19,0.667
1995-06-20,0.6695
1995-06-21,0.676
1995-06-22,0.67
1995-06-23,0.6715
1995-06-24,0.6637
1995-06-25,0.6626
1995-06-26,0.6645
1995-06-27,0.6655
1995-06-28,0.6716
1995-06-29,0.67
1995-06-30,0.6742
1995-07-01,0.674
1995-07-02,0.6631
1995-07-03,0.6613
1995-07-04,0.659
1995-07-05,0.6553
1995-07-06,0.6568
1995-07-07,0.6595
1995-07-08,0.6597
1995-07-09,0.657
1995-07-10,0.655
1995-07-11,0.6565
1995-07-12,0.6553
1995-07-13,0.647
1995-07-14,0.649
1995-07-15,0.65
1995-07-16,0.649
1995-07-17,0.6455
1995-07-18,0.6487
1995-07-19,0.6515
1995-07-20,0.6535
1995-07-21,0.6507
1995-07-22,0.6473
1995-07-23,0.644
1995-07-24,0.6485
1995-07-25,0.652
1995-07-26,0.652
1995-07-27,0.645
1995-07-28,0.6412
1995-07-29,0.637
1995-07-30,0.6373
1995-07-31,0.6355
1995-08-01,0.6371
1995-08-02,0.633
1995-08-03,0.6276
1995-08-04,0.627
1995-08-05,0.627
1995-08-06,0.6221
1995-08-07,0.6236
1995-08-08,0.6255
1995-08-09,0.6304
1995-08-10,0.6315
1995-08-11,0.6225
1995-08-12,0.6215
1995-08-13,0.6219
1995-08-14,0.626
1995-08-15,0.615
1995-08-16,0.6145
1995-08-17,0.6115
1995-08-18,0.611
1995-08-19,0.6005
1995-08-20,0.5995
1995-08-21,0.5955
1995-08-22,0.587
1995-08-23,0.5867
1995-08-24,0.5925
1995-08-25,0.5894
1995-08-26,0.5925
1995-08-27,0.6081
1995-08-28,0.6067
1995-08-29,0.627
1995-08-30,0.611
1995-08-31,0.6078
1995-09-01,0.6074
1995-09-02,0.6054
1995-09-03,0.603
1995-09-04,0.6075
1995-09-05,0.6208
1995-09-06,0.619
1995-09-07,0.6115
1995-09-08,0.6185
1995-09-09,0.6165
1995-09-10,0.6195
1995-09-11,0.6165
1995-09-12,0.6125
1995-09-13,0.614
1995-09-14,0.6165
1995-09-15,0.6245
1995-09-16,0.6234
1995-09-17,0.629
1995-09-18,0.6267
1995-09-19,0.6301
1995-09-20,0.6263
1995-09-21,0.6211
1995-09-22,0.6168
1995-09-23,0.6196
1995-09-24,0.609
1995-09-25,0.6115
1995-09-26,0.6105
1995-09-27,0.6145
1995-09-28,0.607
1995-09-29,0.6035
1995-09-30,0.605
1995-10-01,0.609
1995-10-02,0.604
1995-10-03,0.5991
1995-10-04,0.5985
1995-10-05,0.5921
1995-10-06,0.5945
1995-10-07,0.5975
1995-10-08,0.594
1995-10-09,0.5925
1995-10-10,0.5938
1995-10-11,0.594
1995-10-12,0.5897
1995-10-13,0.583
1995-10-14,0.5792
1995-10-15,0.576
1995-10-16,0.5682
1995-10-17,0.555
1995-10-18,0.565
1995-10-19,0.572
1995-10-20,0.5805
1995-10-21,0.583
1995-10-22,0.581
1995-10-23,0.5861
1995-10-24,0.5897
1995-10-25,0.5875
1995-10-26,0.5966
1995-10-27,0.5929
1995-10-28,0.5945
1995-10-29,0.5935
1995-10-30,0.5937
1995-10-31,0.5875
1995-11-01,0.5835
1995-11-02,0.5855
1995-11-03,0.5781
1995-11-04,0.5836
1995-11-05,0.5911
1995-11-06,0.5863
1995-11-07,0.5975
1995-11-08,0.593
1995-11-09,0.597
1995-11-10,0.594
1995-11-11,0.594
1995-11-12,0.5887
1995-11-13,0.6178
1995-11-14,0.6183
1995-11-15,0.6162
1995-11-16,0.6273
1995-11-17,0.6294
1995-11-18,0.631
1995-11-19,0.6327
1995-11-20,0.6328
1995-11-21,0.6285
1995-11-22,0.6275
1995-11-23,0.6253
1995-11-24,0.6184
1995-11-25,0.6165
1995-11-26,0.6154
1995-11-27,0.616
1995-11-28,0.6231
1995-11-29,0.625
1995-11-30,0.6252
1995-12-01,0.6254
1995-12-02,0.6286
1995-12-03,0.632
1995-12-04,0.634
1995-12-05,0.6348
1995-12-06,0.6223
1995-12-07,0.632
1995-12-08,0.6392
1995-12-09,0.6385
1995-12-10,0.6343
1995-12-11,0.6457
1995-12-12,0.6437
1995-12-13,0.6436
1995-12-14,0.641
1995-12-15,0.6417
1995-12-16,0.64
1995-12-17,0.6339
1995-12-18,0.628
1995-12-19,0.6305
1995-12-20,0.631
1995-12-21,0.6245
1995-12-22,0.6175
1995-12-23,0.6204
1995-12-24,0.6155
1995-12-25,0.6165
1995-12-26,0.6195
1995-12-27,0.6208
1995-12-28,0.6204
1995-12-29,0.6235
1995-12-30,0.6187
1995-12-31,0.6231
1996-01-01,0.6211
1996-01-02,0.617
1996-01-03,0.6145
1996-01-04,0.6114
1996-01-05,0.611
1996-01-06,0.607
1996-01-07,0.6114
1996-01-08,0.6129
1996-01-09,0.6123
1996-01-10,0.618815
1996-01-11,0.621309
1996-01-12,0.6288729999999999
1996-01-13,0.633995
1996-01-14,0.633268
1996-01-15,0.640779
1996-01-16,0.640666
1996-01-17,0.631021
1996-01-18,0.6327010000000001
1996-01-19,0.634897
1996-01-20,0.634195
1996-01-21,0.638337
1996-01-22,0.6400279999999999
1996-01-23,0.639895
1996-01-24,0.635181
1996-01-25,0.631676
1996-01-26,0.630414
1996-01-27,0.627282
1996-01-28,0.6257119999999999
1996-01-29,0.6297159999999999
1996-01-30,0.633323
1996-01-31,0.6395569999999999
1996-02-01,0.641029
1996-02-02,0.649468
1996-02-03,0.651704
1996-02-04,0.6528470000000001
1996-02-05,0.646998
1996-02-06,0.645543
1996-02-07,0.649558
1996-02-08,0.646131
1996-02-09,0.645934
1996-02-10,0.63854
1996-02-11,0.633196
1996-02-12,0.635578
1996-02-13,0.6379229999999999
1996-02-14,0.640067
1996-02-15,0.639067
1996-02-16,0.632308
1996-02-17,0.6270319999999999
1996-02-18,0.621313
1996-02-19,0.618524
1996-02-20,0.620168
1996-02-21,0.623145
1996-02-22,0.6241180000000001
1996-02-23,0.627709
1996-02-24,0.6309939999999999
1996-02-25,0.635837
1996-02-26,0.634885
1996-02-27,0.635231
1996-02-28,0.636051
1996-02-29,0.631652
1996-03-01,0.626605
1996-03-02,0.627447
1996-03-03,0.6301359999999999
1996-03-04,0.630328
1996-03-05,0.634137
1996-03-06,0.638134
1996-03-07,0.6397189999999999
1996-03-08,0.636404
1996-03-09,0.634783
1996-03-10,0.632189
1996-03-11,0.6266689999999999
1996-03-12,0.633799
1996-03-13,0.635145
1996-03-14,0.631745
1996-03-15,0.6380170000000001
1996-03-16,0.6281479999999999
1996-03-17,0.624907
1996-03-18,0.6300399999999999
1996-03-19,0.635001
1996-03-20,0.637088
1996-03-21,0.637645
1996-03-22,0.6365430000000001
1996-03-23,0.647493
1996-03-24,0.651647
1996-03-25,0.6476069999999999
1996-03-26,0.647021
1996-03-27,0.650999
1996-03-28,0.651675
1996-03-29,0.648596
1996-03-30,0.650231
1996-03-31,0.654669
1996-04-01,0.658612
1996-04-02,0.6623859999999999
1996-04-03,0.665492
1996-04-04,0.6636569999999999
1996-04-05,0.662079
1996-04-06,0.668629
1996-04-07,0.670714
1996-04-08,0.66932
1996-04-09,0.670533
1996-04-10,0.667579
1996-04-11,0.668716
1996-04-12,0.6654479999999999
1996-04-13,0.666222
1996-04-14,0.670802
1996-04-15,0.66315
1996-04-16,0.661464
1996-04-17,0.660267
1996-04-18,0.6578510000000001
1996-04-19,0.649029
1996-04-20,0.648524
1996-04-21,0.652736
1996-04-22,0.6496069999999999
1996-04-23,0.641113
1996-04-24,0.644317
1996-04-25,0.647551
1996-04-26,0.65565
1996-04-27,0.658325
1996-04-28,0.659592
1996-04-29,0.657954
1996-04-30,0.662668
1996-05-01,0.6648069999999999
1996-05-02,0.663991
1996-05-03,0.658567
1996-05-04,0.656455
1996-05-05,0.658461
1996-05-06,0.652882
1996-05-07,0.6511359999999999
1996-05-08,0.653887
1996-05-09,0.656749
1996-05-10,0.658108
1996-05-11,0.662229
1996-05-12,0.658068
1996-05-13,0.657308
1996-05-14,0.661136
1996-05-15,0.67024
1996-05-16,0.665912
1996-05-17,0.6660010000000001
1996-05-18,0.664342
1996-05-19,0.665424
1996-05-20,0.6649390000000001
1996-05-21,0.662647
1996-05-22,0.659084
1996-05-23,0.658801
1996-05-24,0.6630229999999999
1996-05-25,0.660634
1996-05-26,0.65084
1996-05-27,0.647703
1996-05-28,0.648027
1996-05-29,0.647112
1996-05-30,0.647745
1996-05-31,0.647371
1996-06-01,0.644606
1996-06-02,0.644353
1996-06-03,0.649734
1996-06-04,0.651944
1996-06-05,0.653914
1996-06-06,0.658612
1996-06-07,0.654207
1996-06-08,0.6528390000000001
1996-06-09,0.653399
1996-06-10,0.651942
1996-06-11,0.648375
1996-06-12,0.649831
1996-06-13,0.6516270000000001
1996-06-14,0.6494479999999999
1996-06-15,0.649468
1996-06-16,0.647238
1996-06-17,0.636497
1996-06-18,0.639425
1996-06-19,0.63578
1996-06-20,0.636659
1996-06-21,0.634134
1996-06-22,0.630141
1996-06-23,0.632954
1996-06-24,0.632851
1996-06-25,0.6380239999999999
